feature,importance_mean,importance_se
tqwt_skewnessValue_dec_26,0.8155622485418963,0.03345416168817127
tqwt_skewnessValue_dec_21,0.7928218056946177,0.18256033963197577
tqwt_skewnessValue_dec_27,0.6734007763072046,0.05335526827075349
tqwt_skewnessValue_dec_30,0.6635295605708146,0.03279284876870519
tqwt_skewnessValue_dec_25,0.5805926767371129,0.03646898019183142
tqwt_medianValue_dec_29,0.5773079033445734,0.08234079531760338
tqwt_medianValue_dec_22,0.5675792798535065,0.03314344958736403
tqwt_medianValue_dec_23,0.5266728112079985,0.03437163854016864
tqwt_medianValue_dec_14,0.48295385570440164,0.12133203242300503
tqwt_skewnessValue_dec_12,0.4785211430542332,0.04151758530142268
tqwt_kurtosisValue_dec_27,0.45758537693489443,0.02825644067361232
tqwt_kurtosisValue_dec_26,0.4511878199817675,0.018087382816348606
mean_9th_delta_delta,0.44239884041373995,0.010388855184436203
tqwt_skewnessValue_dec_24,0.4236211494477667,0.029962868679535716
tqwt_meanValue_dec_13,0.4055712024424036,0.03521633569716485
b4,0.400836846872175,0.034020731075694005
tqwt_meanValue_dec_5,0.38379071235192375,0.02663826078383355
tqwt_medianValue_dec_31,0.37918864678485287,0.04342506821219077
mean_10th_delta_delta,0.3779899513226382,0.01225277385506878
tqwt_kurtosisValue_dec_12,0.3766301247423148,0.05013352364921817
tqwt_skewnessValue_dec_5,0.3763916864206487,0.057414056555872485
mean_8th_delta_delta,0.37311787247795225,0.03651163878127878
tqwt_meanValue_dec_25,0.3724558834554753,0.015594057656646253
b3,0.37124957155247823,0.09473208777671929
mean_3rd_delta_delta,0.36584749168841824,0.019377141301407746
tqwt_skewnessValue_dec_34,0.3580229756805635,0.02077667344687591
tqwt_meanValue_dec_27,0.35715248150774204,0.037561769994674185
tqwt_medianValue_dec_11,0.35675245238046116,0.05680660736876647
tqwt_medianValue_dec_12,0.3483218421976407,0.029100047733814634
tqwt_meanValue_dec_19,0.345553779065197,0.02189019767232533
mean_12th_delta_delta,0.3379485904647047,0.025816959707193204
tqwt_skewnessValue_dec_35,0.3324881100266289,0.023236156933671905
tqwt_skewnessValue_dec_36,0.32926405130015696,0.023067503954447958
tqwt_meanValue_dec_10,0.32674208008677513,0.03047368649044457
tqwt_medianValue_dec_15,0.32600491022028516,0.03518199890767068
tqwt_skewnessValue_dec_28,0.32098414491145266,0.0242726663194593
det_LT_entropy_shannon_4_coef,0.31453171097416455,0.04829565652953913
tqwt_medianValue_dec_34,0.3143778897094217,0.05611899526677999
tqwt_skewnessValue_dec_33,0.311859204373641,0.01425050213280164
IMF_SNR_SEO,0.311072503311935,0.03216938204927998
tqwt_kurtosisValue_dec_23,0.3084202249949274,0.056246545248604875
tqwt_medianValue_dec_6,0.30744106933561477,0.06256566158529113
tqwt_medianValue_dec_24,0.29753214045917176,0.07149860898704596
tqwt_skewnessValue_dec_15,0.29467581499333395,0.07448677647470171
tqwt_medianValue_dec_35,0.2933971439103317,0.05709321345708457
mean_5th_delta_delta,0.29333701153195546,0.03722348855899102
mean_7th_delta_delta,0.29271896864922703,0.011451976385078262
tqwt_medianValue_dec_7,0.292500110726471,0.006563445461899823
tqwt_meanValue_dec_3,0.29247687358327445,0.048818131280130767
tqwt_medianValue_dec_9,0.2840216064501538,0.07184749079701398
VFER_mean,0.2828588067462558,0.02330341332793595
tqwt_TKEO_mean_dec_11,0.28244327496701066,0.02403879031954006
tqwt_medianValue_dec_10,0.28191541479157445,0.05947750263421434
mean_4th_delta_delta,0.27619201793723136,0.029629741215262406
tqwt_meanValue_dec_31,0.27532422280671454,0.053004351209529496
tqwt_TKEO_std_dec_11,0.2609490141617991,0.022099300765499902
tqwt_skewnessValue_dec_14,0.26022206780705087,0.047657434113883915
tqwt_kurtosisValue_dec_25,0.25416544401685004,0.012365705042703274
tqwt_meanValue_dec_23,0.2515805475194063,0.07107474506055561
VFER_entropy,0.24971798227992012,0.029830310727036322
tqwt_meanValue_dec_8,0.24905543229469637,0.060983459699093565
tqwt_meanValue_dec_26,0.2464437592766348,0.040220285347119494
mean_7th_delta,0.23930371793747388,0.026186881176841148
tqwt_meanValue_dec_6,0.23615805489092487,0.03560267726624792
stdDevPeriodPulses,0.23493823772798317,0.024628645822353544
tqwt_medianValue_dec_28,0.23469102272749268,0.028043399387385797
tqwt_meanValue_dec_29,0.23227980374482451,0.023829197631940552
tqwt_medianValue_dec_30,0.2319225339836702,0.030873988685346306
